BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
S313;FERIMENTO DO ESCROTO E DO TESTICULO;S31.3 FERIM DO ESCROTO E;M;;
S314;FERIMENTO DA VAGINA E DA VULVA;S31.4 FERIM DA VAGINA E D;F;;
S315;FERIMENTO DE OUTROS ORGAOS GENITAIS EXTERNOS E OS NAO ESPECIFICADOS;S31.5 FERIM DE OUTR ORGAO;;;
S317;FERIMENTOS MULTIPLOS DO ABDOMEDO DORSO E DA PELVE;S31.7 FERIM MULT DO ABDOM;;;
S318;FERIMENTO DE OUTRAS PARTES E DE PARTES NAO ESPECIFICADAS DO ABDOME;S31.8 FERIM DE OUTR PARTE;;;
S32;FRATURA DA COLUNA LOMBAR E DA PELVE;S32 FRAT DA COLUNA LOMB;;;
S320;FRATURA DE VERTEBRA LOMBAR;S32.0 FRAT DE VERTEBRA LO;;;
S321;FRATURA DO SACRO;S32.1 FRAT DO SACRO;;;
S322;FRATURA DO COCCIX;S32.2 FRAT DO COCCIX;;;
S323;FRATURA DO ILIO;S32.3 FRAT DO ILIO;;;
S324;FRATURA DO ACETABULO;S32.4 FRAT DO ACETABULO;;;
S325;FRATURA DO PUBIS;S32.5 FRAT DO PUBIS;;;
S327;FRATURAS MULTIPLAS DE COLUNA LOMBAR E DA PELVE;S32.7 FRAT MULT DE COLUNA;;;
S328;FRATURA DE OUTRAS PARTES DA COLUNA LOMBOSSACRA E DA PELVE E DE PARTES NAO ESPECIFICADAS;S32.8 FRAT OUTR PART COLU;;;
S33;LUXACAOENTORSE OU DISTENSAO DAS ARTICULACOES E DOS LIGAMENTOS DA COLUNA LOMBAR E DA PELVE;S33 LUXAC ENTORS DIST A;;;
S330;RUPTURA TRAUMATICA DO DISCO INTERVERTEBRAL LOMBAR;S33.0 RUPTURA TRAUM DO DI;;;
S331;LUXACAO DA VERTEBRA LOMBAR;S33.1 LUXACAO DA VERTEBRA;;;
S332;LUXACAO DAS ARTICULACOES SACROILIACA E SACROCOCCIGEA;S33.2 LUXACAO ARTIC SACRO;;;
S333;LUXACAO DE OUTRAS PARTES E DAS NAO ESPECIFICADAS DA COLUNA LOMBAR E DA PELVE;S33.3 LUXACAO OUTR PARTES;;;
S334;RUPTURA TRAUMATICA DA SINFISE PUBICA;S33.4 RUPTURA TRAUM DA SI;;;
S335;ENTORSE E DISTENSAO DA COLUNA LOMBAR;S33.5 ENTORSE E DISTENSAO;;;
S336;ENTORSE E DISTENSAO DA ARTICULACAO SACROILIACA;S33.6 ENTORSE E DISTENSAO;;;
S337;ENTORSE E DISTENSAO DE OUTRAS PARTES E DAS NAO ESPECIFICADAS DA COLUNA LOMBAR E DA PELVE;S33.7 ENTORSE DISTENS OUT;;;
S34;TRAUMATISMO DOS NERVOS E DA MEDULA LOMBAR AO NIVEL DO ABDOMEDO DORSO E DA PELVE;S34 TRAUM NERV MED LOMB;;;
S340;CONCUSSAO E EDEMA DA MEDULA LOMBAR;S34.0 CONCUSSAO E EDEMA D;;;
S341;OUTRO TRAUMATISMO DA MEDULA LOMBAR;S34.1 OUTR TRAUM DA MEDUL;;;
S342;TRAUMATISMO DE RAIZ NERVOSA DA MEDULA LOMBAR E SACRA;S34.2 TRAUM DE RAIZ NERVO;;;
S343;TRAUMATISMO DE CAUDA EQ_INA;S34.3 TRAUM DE CAUDA EQUI;;;
S344;TRAUMATISMO DO PLEXO LOMBOSSACRO;S34.4 TRAUM DO PLEXO LOMB;;;
S345;TRAUMATISMO DE NERVOS SIMPATICOS LOMBARESSACROS E PELVICOS;S34.5 TRAUM NERVOS SIMPAT;;;
S346;TRAUMATISMO DO SNERVO SPERIFERICO SDO ABDOMEDO DORSO E DA PELVE;S34.6 TRAUM NERVOS PERIF;;;
S348;TRAUMATISMO DE OUTROS NERVOS E DOS NAO ESPECIFICADOS AO NIVEL DO ABDOMEDO DORSO E DA PELVE;S34.8 TRAUM OUTR NERV E N;;;
S35;TRAUMATISMO DE VASOS SANG_INEOS AO NIVEL DO ABDOMEDO DORSO E DA PELVE;S35 TRAUM VASOS SANG NI;;;
S350;TRAUMATISMO DA AORTA ABDOMINAL;S35.0 TRAUM DA AORTA ABDO;;;
S351;TRAUMATISMO DA VEIA CAVA INFERIOR;S35.1 TRAUM DA VEIA CAVA;;;
S352;TRAUMATISMO DA ARTERIA CELIACA OU MESENTERICA;S35.2 TRAUM DA ARTERIA CE;;;
S353;TRAUMATISMO DA VEIA PORTA OU ESPLENICA;S35.3 TRAUM DA VEIA PORTA;;;
S354;TRAUMATISMO DE VASO SANG_INEO RENAL;S35.4 TRAUM DE VASO SANGU;;;
S355;TRAUMATISMO DE VASO SANG_INEO ILIACO;S35.5 TRAUM DE VASO SANGU;;;
S357;TRAUMATISMO DE VASOS MULTIPLOS AO NIVEL DO ABDOMEDO DORSO E DA PELVE;S35.7 TRAUM DE VASOS MULT;;;
S358;TRAUMATISMO DE OUTROS VASOS SANG_INEOS AO NIVEL DO ABDOMEDO DORSO E DA PELVE;S35.8 TRAUM OUTR VASOS SA;;;
S359;TRAUMATISMO DE VASO SANG_INEO NAO ESPECIFICADO AO NIVEL DO ABDOMEDO DORSO E DA PELVE;S35.9 TRAUM VASO SANG NE;;;
S36;TRAUMATISMO DE ORGAOS INTRA ABDOMINAIS;S36 TRAUM DE ORGAOS INT;;;
S360;TRAUMATISMO DO BACO;S36.0 TRAUM DO BACO;;;
S361;TRAUMATISMO DO FIGADO OU DA VESICULA BILIAR;S36.1 TRAUM DO FIGADO OU;;;
S362;TRAUMATISMO DO PANCREAS;S36.2 TRAUM DO PANCREAS;;;
S363;TRAUMATISMO DO ESTOMAGO;S36.3 TRAUM DO ESTOMAGO;;;
S364;TRAUMATISMO DO INTESTINO DELGADO;S36.4 TRAUM DO INTESTINO;;;
S365;TRAUMATISMO DO COLON;S36.5 TRAUM DO COLON;;;
S366;TRAUMATISMO DO RETO;S36.6 TRAUM DO RETO;;;
S367;TRAUMATISMO DE MULTIPLOS ORGAOS INTRA ABDOMINAIS;S36.7 TRAUM DE MULT ORGAO;;;
S368;TRAUMATISMO DE OUTROS ORGAOS INTRA ABDOMINAIS;S36.8 TRAUM DE OUTR ORGAO;;;
S369;TRAUMATISMO DE ORGAO INTRA ABDOMINAL NAO ESPECIFICADO;S36.9 TRAUM DE ORGAO INTR;;;
S37;TRAUMATISMO DO APARELHO URINARIO E DE ORGAOS PELVICOS;S37 TRAUM DO APARELHO U;;;
S370;TRAUMATISMO DO RIM;S37.0 TRAUM DO RIM;;;
S371;TRAUMATISMO DO URETER;S37.1 TRAUM DO URETER;;;
S372;TRAUMATISMO DA BEXIGA;S37.2 TRAUM DA BEXIGA;;;
S373;TRAUMATISMO DA URETRA;S37.3 TRAUM DA URETRA;;;
S374;TRAUMATISMO DO OVARIO;S37.4 TRAUM DO OVARIO;F;;
S375;TRAUMATISMO DA TROMPA DE FALOPIO;S37.5 TRAUM DA TROMPA DE;F;;
S376;TRAUMATISMO DO UTERO;S37.6 TRAUM DO UTERO;F;;
S377;TRAUMATISMO DE MULTIPLOS ORGAOS PELVICOS;S37.7 TRAUM DE MULT ORGAO;;;
S378;TRAUMATISMO DE OUTROS ORGAOS PELVICOS;S37.8 TRAUM DE OUTR ORGAO;;;
S379;TRAUMATISMO DE ORGAO PELVICO NAO ESPECIFICADO;S37.9 TRAUM DE ORGAO PELV;;;
S38;LESAO POR ESMAGAMENTO E AMPUTACAO TRAUMATICA DE PARTE DO ABDOMEDO DORSO E DA PELVE;S38 LESAO P ESMAG AMPUT;;;
S380;LESAO POR ESMAGAMENTO DOS ORGAOS GENITAIS EXTERNOS;S38.0 LESAO P ESMAG DOS O;;;
S381;LESAO POR ESMAGAMENTO DE OUTRAS PARTES E DE PARTES NAO ESPECIFICADAS DO ABDOMEDO DORSO E DA PELVE;S38.1 LESAO P ESMAG OUTR;;;
S382;AMPUTACAO TRAUMATICA DE ORGAOS GENITAIS EXTERNOS;S38.2 AMPUT TRAUM DE ORGA;;;
S383;AMPUTACAO TRAUMATICA DE OUTRAS PARTES E DE PARTES NAO ESPECIFICADAS DO ABDOMEDO DORSO E DA PELVE;S38.3 AMPUT TRAUM OUTR PA;;;
S39;OUTROS TRAUMATISMOS E OS NAO ESPECIFICADOS DO ABDOMEDO DORSO E DA PELVE;S39 OUTR TRAUM E OS NE;;;
S390;TRAUMATISMO DE MUSCULO E DE TENDAO DO ABDOMEDO DORSO E DA PELVE;S39.0 TRAUM MUSCULO E TEN;;;
S396;TRAUMATISMO DE ORGAO SINTRA ABDOMINAL ISCOM ORGAO SPELVICO S;S39.6 TRAUM ORG INTRA ABD;;;
S397;OUTROS TRAUMATISMOS MULTIPLOS DO ABDOMEDO DORSO E DA PELVE;S39.7 OUTR TRAUM MULT DO;;;
S398;OUTROS TRAUMATISMOS ESPECIFICADOS DO ABDOMEDO DORSO E DA PELVE;S39.8 OUTR TRAUM ESPEC DO;;;
S399;TRAUMATISMO NAO ESPECIFICADO DO ABDOMEDO DORSO E DA PELVE;S39.9 TRAUM NE DO ABDOME;;;
S40;TRAUMATISMO SUPERFICIAL DO OMBRO E DO BRACO;S40 TRAUM SUPERF DO OMB;;;
S400;CONTUSAO DO OMBRO E DO BRACO;S40.0 CONTUSAO DO OMBRO E;;N;
S407;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DO OMBRO E DO BRACO;S40.7 TRAUM SUPERF MULT D;;N;
S408;OUTROS TRAUMATISMOS SUPERFICIAIS DO OMBRO E DO BRACO;S40.8 OUTR TRAUM SUPERF D;;N;
S409;TRAUMATISMO SUPERFICIAL NAO ESPECIFICADO DO OMBRO E DO BRACO;S40.9 TRAUM SUPERF NE DO;;N;
S41;FERIMENTO DO OMBRO E DO BRACO;S41 FERIM DO OMBRO E DO;;;
S410;FERIMENTO DO OMBRO;S41.0 FERIM DO OMBRO;;;
S411;FERIMENTO DO BRACO;S41.1 FERIM DO BRACO;;;
S417;FERIMENTOS MULTIPLOS DO OMBRO E DO BRACO;S41.7 FERIM MULT DO OMBRO;;;
S418;FERIMENTO DE OUTRAS PARTES E DE PARTES NAO ESPECIFICADAS DA CINTURA ESCAPULAR;S41.8 FERIM OUTR PARTES E;;;
S42;FRATURA DO OMBRO E DO BRACO;S42 FRAT DO OMBRO E DO;;;
S420;FRATURA DA CLAVICULA;S42.0 FRAT DA CLAVICULA;;;
S421;FRATURA DA OMOPLATAESCAPULA;S42.1 FRAT DA OMOPLATA;;;
S422;FRATURA DA EXTREMIDADE SUPERIOR DO UMERO;S42.2 FRAT DA EXTREMIDADE;;;
S423;FRATURA DA DIAFISE DO UMERO;S42.3 FRAT DA DIAFISE DO;;;
S424;FRATURA DA EXTREMIDADE INFERIOR DO UMERO;S42.4 FRAT DA EXTREMIDADE;;;
S427;FRATURAS MULTIPLAS DA CLAVICULADA OMOPLATAESCAPULAE DO UMERO;S42.7 FRAT MULT DA CLAVIC;;;
S428;FRATURA DE OUTRAS PARTES DO OMBRO E DO BRACO;S42.8 FRAT DE OUTR PARTES;;;
S429;FRATURA DA CINTURA ESCAPULARPARTE NAO ESPECIFICADA;S42.9 FRAT DA CINTURA ESC;;;
S43;LUXACAOENTORSE E DISTENSAO DAS ARTICULACOES E DOS LIGAMENTOS DA CINTURA ESCAPULAR;S43 LUXACAO ENTORSE DIS;;;
S430;LUXACAO DA ARTICULACAO DO OMBRO;S43.0 LUXACAO DA ARTICULA;;;
S431;LUXACAO DA ARTICULACAO ACROMIOCLAVICULAR;S43.1 LUXACAO DA ARTICULA;;;
S432;LUXACAO DA ARTICULACAO ESTERNOCLAVICULAR;S43.2 LUXACAO DA ARTICULA;;;
S433;LUXACAO DE OUTRAS PARTES E DAS NAO ESPECIFICADAS DA CINTURA ESCAPULAR;S43.3 LUXACAO DE OUTR PAR;;;
S434;ENTORSE E DISTENSAO DE ARTICULACAO DO OMBRO;S43.4 ENTORSE E DISTENSAO;;;
S435;ENTORSE E DISTENSAO DA ARTICULACAO ACROMIOCLAVICULAR;S43.5 ENTORSE E DISTENSAO;;;
S436;ENTORSE E DISTENSAO DA ARTICULACAO ESTERNOCLAVICULAR;S43.6 ENTORSE E DISTENSAO;;;
S437;ENTORSE E DISTENSAO DE OUTRAS PARTES E DE PARTES NAO ESPECIFICADAS DA CINTURA ESCAPULAR;S43.7 ENTORSE DISTENSAO O;;;
S44;TRAUMATISMO DE NERVOS AO NIVEL DO OMBRO E DO BRACO;S44 TRAUM DE NERVOS AO;;;
S440;TRAUMATISMO DO NERVO CUBITALULNARAO NIVEL DO BRACO;S44.0 TRAUM DO NERVO CUBI;;;
S441;TRAUMATISMO DO NERVO MEDIANO AO NIVEL DO BRACO;S44.1 TRAUM DO NERVO MEDI;;;
S442;TRAUMATISMO DO NERVO RADIAL AO NIVEL DO BRACO;S44.2 TRAUM DO NERVO RADI;;;
S443;TRAUMATISMO DO NERVO AXILAR;S44.3 TRAUM DO NERVO AXIL;;;
S444;TRAUMATISMO DO NERVO MUSCULOCUTANEO;S44.4 TRAUM DO NERVO MUSC;;;
S445;TRAUMATISMO DO NERVO SENSITIVO CUTANEO AO NIVEL DO OMBRO E DO BRACO;S44.5 TRAUM NERVO SENSIT;;;
S447;TRAUMATISMO DE MULTIPLOS NERVOS AO NIVEL DO OMBRO E DO BRACO;S44.7 TRAUM DE MULT NERVO;;;
S448;TRAUMATISMO DE OUTROS NERVOS AO NIVEL DO OMBRO E DO BRACO;S44.8 TRAUM DE OUTR NERVO;;;
S449;TRAUMATISMO DE NERVO NAO ESPECIFICADO AO NIVEL DO OMBRO E DO BRACO;S44.9 TRAUM DE NERVO NE A;;;
S45;TRAUMATISMO DOS VASOS SANG_INEOS AO NIVEL DO OMBRO E DO BRACO;S45 TRAUM DOS VASOS SAN;;;
S450;TRAUMATISMO DA ARTERIA AXILAR;S45.0 TRAUM DA ARTERIA AX;;;
S451;TRAUMATISMO DA ARTERIA BRAQUIAL;S45.1 TRAUM DA ARTERIA BR;;;
S452;TRAUMATISMO DA VEIA AXILAR OU BRAQUIAL;S45.2 TRAUM DA VEIA AXILA;;;
S453;TRAUMATISMO DE VEIA SUPERFICIAL AO NIVEL DO OMBRO E DO BRACO;S45.3 TRAUM DE VEIA SUPER;;;
S457;TRAUMATISMO DE MULTIPLOS VASOS SANG_INEOS AO NIVEL DO OMBRO E DO BRACO;S45.7 TRAUM MULT VASOS SA;;;
S458;TRAUMATISMO DE OUTROS VASOS SANG_INEOS AO NIVEL DO OMBRO E DO BRACO;S45.8 TRAUM DE OUTR VASOS;;;
S459;TRAUMATISMO DE VASO SANG_INEO NAO ESPECIFICADO AO NIVEL DO OMBRO E DO BRACO;S45.9 TRAUM VASO SANGUINE;;;
S46;TRAUMATISMO DE TENDAO E MUSCULO AO NIVEL DO OMBRO E DO BRACO;S46 TRAUM DE TENDAO E M;;;
S460;TRAUMATISMO DO TENDAO DO MANGUITO ROTADOR DO OMBRO;S46.0 TRAUM DO TENDAO DO;;;
S461;TRAUMATISMO DO MUSCULO E TENDAO DA CABECA LONGA DO BICEPS;S46.1 TRAUM DO MUSCULO TE;;;
S462;TRAUMATISMO DO MUSCULO E TENDAO DE OUTRAS PARTES DO BICEPS;S46.2 TRAUM DO MUSCULO E;;;
S463;TRAUMATISMO DO MUSCULO E TENDAO DO TRICEPS;S46.3 TRAUM DO MUSCULO E;;;
S467;TRAUMATISMO DE MULTIPLOS MUSCULOS E TENDOES AO NIVEL DO OMBRO E DO BRACO;S46.7 TRAUM MULT MUSC TEN;;;
S468;TRAUMATISMO DE OUTROS MUSCULOS E TENDOES AO NIVEL DO OMBRO E DO BRACO;S46.8 TRAUM OUTR MUSC TEN;;;
S469;TRAUMATISMO DE MUSCULO E TENDAO NAO ESPECIFICADO AO NIVEL DO OMBRO E DO BRACO;S46.9 TRAUM MUSCULO TENDA;;;
S47;LESAO POR ESMAGAMENTO DO OMBRO E DO BRACO;S47 LESAO P ESMAG DO OM;;;
S47;LESAO POR ESMAGAMENTO DO OMBRO E DO BRACO;S47 LESAO P ESMAG DO OM;;;
S48;AMPUTACAO TRAUMATICA DO OMBRO E DO BRACO;S48 AMPUT TRAUM DO OMBR;;;
S480;AMPUTACAO TRAUMATICA DA ARTICULACAO DO OMBRO;S48.0 AMPUT TRAUM DA ARTI;;;
S481;AMPUTACAO TRAUMATICA DE LOCALIZACAO ENTRE O OMBRO E O COTOVELO;S48.1 AMPUT TRAUM DE LOCA;;;
S489;AMPUTACAO TRAUMATICA DO OMBRO E DO BRACODE LOCALIZACAO NAO ESPECIFICADA;S48.9 AMPUT TRAUM DO OMBR;;;
S49;OUTROS TRAUMATISMOS E OS NAO ESPECIFICADOS DO OMBRO E DO BRACO;S49 OUTR TRAUM E OS NE;;;
S497;TRAUMATISMOS MULTIPLOS DO OMBRO E DO BRACO;S49.7 TRAUM MULT DO OMBRO;;;
S498;OUTROS TRAUMATISMOS ESPECIFICADOS DO OMBRO E DO BRACO;S49.8 OUTR TRAUM ESPEC DO;;;
S499;TRAUMATISMO NAO ESPECIFICADO DO OMBRO E DO BRACO;S49.9 TRAUM NE DO OMBRO E;;;
S50;TRAUMATISMO SUPERFICIAL DO COTOVELO E DO ANTEBRACO;S50 TRAUM SUPERF DO COT;;;
S500;CONTUSAO DO COTOVELO;S50.0 CONTUSAO DO COTOVEL;;N;
S501;CONTUSAO DE OUTRAS PARTES E DE PARTES NAO ESPECIFICADAS DO ANTEBRACO;S50.1 CONTUSAO OUTR PARTE;;N;
S507;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DO ANTEBRACO;S50.7 TRAUM SUPERF MULT D;;N;
S508;OUTROS TRAUMATISMOS SUPERFICIAIS DO ANTEBRACO;S50.8 OUTR TRAUM SUPERF D;;N;
S509;TRAUMATISMO SUPERFICIAL DO ANTEBRACONAO ESPECIFICADO;S50.9 TRAUM SUPERF DO ANT;;N;
S51;FERIMENTO DO ANTEBRACO;S51 FERIM DO ANTEBRACO;;;
S510;FERIMENTO DO COTOVELO;S51.0 FERIM DO COTOVELO;;;
S517;FERIMENTOS MULTIPLOS DO ANTEBRACO;S51.7 FERIM MULT DO ANTEB;;;
S518;FERIMENTO DE OUTRAS PARTES DO ANTEBRACO;S51.8 FERIM DE OUTR PARTE;;;
S519;FERIMENTO DO ANTEBRACOPARTE NAO ESPECIFICADO;S51.9 FERIM DO ANTEBRACO;;;
S52;FRATURA DO ANTEBRACO;S52 FRAT DO ANTEBRACO;;;
S520;FRATURA DA EXTREMIDADE SUPERIOR DO CUBITOULNA;S52.0 FRAT DA EXTREMIDADE;;;
S521;FRATURA DA EXTREMIDADE SUPERIOR DO RADIO;S52.1 FRAT DA EXTREMIDADE;;;
S522;FRATURA DA DIAFISE DO CUBITOULNA;S52.2 FRAT DA DIAFISE DO;;;
S523;FRATURA DA DIAFISE DO RADIO;S52.3 FRAT DA DIAFISE DO;;;
S524;FRATURA DAS DIAFISES DO RADIO E DO CUBITOULNA;S52.4 FRAT DAS DIAFISES D;;;
S525;FRATURA DA EXTREMIDADE DISTAL DO RADIO;S52.5 FRAT DA EXTREMIDADE;;;
S526;FRATURA DA EXTREMIDADE DISTAL DO RADIO E DO CUBITOULNA;S52.6 FRAT DA EXTREMIDADE;;;
S527;FRATURAS MULTIPLAS DO ANTEBRACO;S52.7 FRAT MULT DO ANTEBR;;;
S528;FRATURA DE OUTRAS PARTES DO ANTEBRACO;S52.8 FRAT DE OUTR PARTES;;;
S529;FRATURA DO ANTEBRACOPARTE NAO ESPECIFICADA;S52.9 FRAT DO ANTEBRACO P;;;
S53;LUXACAOENTORSE E DISTENSAO DAS ARTICULACOES E DOS LIGAMENTOS DO COTOVELO;S53 LUXACAO ENTORSE DIS;;;
S530;LUXACAO DA CABECA DO RADIO;S53.0 LUXACAO DA CABECA D;;;
S531;LUXACAO DO COTOVELONAO ESPECIFICADA;S53.1 LUXACAO DO COTOVELO;;;
S532;RUPTURA TRAUMATICA DO LIGAMENTO COLATERAL DO RADIO;S53.2 RUPTURA TRAUM DO LI;;;
S533;RUPTURA TRAUMATICA DO LIGAMENTO COLATERAL DO CUBITOULNA;S53.3 RUPTURA TRAUM DO LI;;;
S534;ENTORSE E DISTENSAO DO COTOVELO;S53.4 ENTORSE E DISTENSAO;;;
S54;TRAUMATISMO DE NERVOS AO NIVEL DO ANTEBRACO;S54 TRAUM DE NERVOS AO;;;
S540;TRAUMATISMO DO NERVO CUBITALULNARAO NIVEL DO ANTEBRACO;S54.0 TRAUM DO NERVO CUBI;;;
S541;TRAUMATISMO DO NERVO MEDIANO AO NIVEL DO ANTEBRACO;S54.1 TRAUM DO NERVO MEDI;;;
S542;TRAUMATISMO DO NERVO RADIAL AO NIVEL DO ANTEBRACO;S54.2 TRAUM DO NERVO RADI;;;
S543;TRAUMATISMO DO NERVO CUTANEO SENSITIVO AO NIVEL DO ANTEBRACO;S54.3 TRAUM NERVO CUTANEO;;;
S547;TRAUMATISMO DE MULTIPLOS NERVOS AO NIVEL DO ANTEBRACO;S54.7 TRAUM DE MULT NERVO;;;
S548;TRAUMATISMO DE OUTROS NERVOS AO NIVEL DO ANTEBRACO;S54.8 TRAUM DE OUTR NERVO;;;
S549;TRAUMATISMO DE NERVO NAO ESPECIFICADO AO NIVEL DO ANTEBRACO;S54.9 TRAUM DE NERVO NE A;;;
S55;TRAUMATISMO DE VASOS SANG_INEOS AO NIVEL DO ANTEBRACO;S55 TRAUM DE VASOS SANG;;;
S550;TRAUMATISMO DA ARTERIA CUBITALULNARAO NIVEL DO ANTEBRACO;S55.0 TRAUM DA ARTERIA CU;;;
S551;TRAUMATISMO DA ARTERIA RADIAL AO NIVEL DO ANTEBRACO;S55.1 TRAUM DA ARTERIA RA;;;
S552;TRAUMATISMO DE VEIA AO NIVEL DO ANTEBRACO;S55.2 TRAUM DE VEIA AO NI;;;
S557;TRAUMATISMO DE MULTIPLOS VASOS SANG_INEOS AO NIVEL DO ANTEBRACO;S55.7 TRAUM MULT VASOS SA;;;
S558;TRAUMATISMO DE OUTROS VASOS SANG_INEOS AO NIVEL DO ANTEBRACO;S55.8 TRAUM OUTR VASOS SA;;;
S559;TRAUMATISMO DE VASOS SANG_INEOS NAO ESPECIFICADOS AO NIVEL DO ANTEBRACO;S55.9 TRAUM DE VASOS SANG;;;
S56;TRAUMATISMO DO MUSCULO E TENDAO AO NIVEL DO ANTEBRACO;S56 TRAUM DO MUSCULO E;;;
S560;TRAUMATISMO DO MUSCULO FLEXOR E TENDAO DO POLEGAR AO NIVEL DO ANTEBRACO;S56.0 TRAUM MUSC FLEXOR T;;;
S561;TRAUMATISMO DO MUSCULO FLEXOR E TENDAO DE OUTRO SDEDO SAO NIVEL DO ANTEBRACO;S56.1 TRAUM MUSC FLEXOR T;;;
S562;TRAUMATISMO DE OUTRO MUSCULO FLEXOR E TENDAO AO NIVEL DO ANTEBRACO;S56.2 TRAUM OUTR MUSC FLE;;;
S563;TRAUMATISMO DOS MUSCULOS EXTENSOR OU ABDUTOR E TENDOES DO POLEGAR AO NIVEL DO ANTEBRACO;S56.3 TRAUM MUSC EXTENS A;;;
S564;TRAUMATISMO DO MUSCULO EXTENSOR E TENDAO DE OUTRO SDEDO SAO NIVEL DO ANTEBRACO;S56.4 TRAUM MUSC EXTENS T;;;
S565;TRAUMATISMO DE OUTROS MUSCULOS EXTENSORES E TENDOES AO NIVEL DO ANTEBRACO;S56.5 TRAUM OUTR MUSC EXT;;;
S567;TRAUMATISMO DE MUSCULOS E TENDOES MULTIPLOS AO NIVEL DO ANTEBRACO;S56.7 TRAUM MUSCULOS TEND;;;
S568;TRAUMATISMO DE OUTROS MUSCULOS E TENDOES E DOS NAO ESPECIFICADOS AO NIVEL DO ANTEBRACO;S56.8 TRAUM OUTR MUSC TEN;;;
S57;LESAO POR ESMAGAMENTO DO ANTEBRACO;S57 LESAO P ESMAG DO AN;;;
S570;LESAO POR ESMAGAMENTO DO COTOVELO;S57.0 LESAO P ESMAG DO CO;;;
S578;LESAO POR ESMAGAMENTO DE OUTRAS PARTES DO ANTEBRACO;S57.8 LESAO P ESMAG DE OU;;;
S579;LESAO POR ESMAGAMENTO DE PARTE NAO ESPECIFICADA DO ANTEBRACO;S57.9 LESAO P ESMAG DE PA;;;
S58;AMPUTACAO TRAUMATICA DO COTOVELO E DO ANTEBRACO;S58 AMPUT TRAUM DO COTO;;;
S580;AMPUTACAO TRAUMATICA AO NIVEL DO COTOVELO;S58.0 AMPUT TRAUM AO NIVE;;;
S581;AMPUTACAO TRAUMATICA DO ANTEBRACO ENTRE O COTOVELO E O PUNHO;S58.1 AMPUT TRAUM ANTEBRA;;;
S589;AMPUTACAO TRAUMATICA DO ANTEBRACONIVEL NAO ESPECIFICADO;S58.9 AMPUT TRAUM DO ANTE;;;
S59;OUTROS TRAUMATISMOS DO ANTEBRACO E OS NAO ESPECIFICADOS;S59 OUTR TRAUM DO ANTEB;;;
S597;TRAUMATISMOS MULTIPLOS DO COTOVELO;S59.7 TRAUM MULT DO COTOV;;;
S598;OUTROS TRAUMATISMOS ESPECIFICADOS DO ANTEBRACO;S59.8 OUTR TRAUM ESPEC DO;;;
S599;TRAUMATISMO NAO ESPECIFICADO DO ANTEBRACO;S59.9 TRAUM NE DO ANTEBRA;;;
S60;TRAUMATISMO SUPERFICIAL DO PUNHO E DA MAO;S60 TRAUM SUPERF DO PUN;;;
S600;CONTUSAO DE DEDO SSEM LESAO DA UNHA;S60.0 CONTUSAO DE DEDOS S;;N;
S601;CONTUSAO DE DEDO SCOM LESAO DA UNHA;S60.1 CONTUSAO DE DEDOS C;;N;
S602;CONTUSAO DE OUTRAS PARTES DO PUNHO E DA MAO;S60.2 CONTUSAO DE OUTR PA;;N;
S607;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DO PUNHO E DA MAO;S60.7 TRAUM SUPERF MULT D;;N;
S608;OUTROS TRAUMATISMOS SUPERFICIAIS DO PUNHO E DA MAO;S60.8 OUTR TRAUM SUPERF D;;N;
S609;TRAUMATISMO SUPERFICIAL NAO ESPECIFICADO DO PUNHO E DA MAO;S60.9 TRAUM SUPERF NE DO;;N;
S61;FERIMENTO DO PUNHO E DA MAO;S61 FERIM DO PUNHO E DA;;;
S610;FERIMENTO DE DEDO SSEM LESAO DA UNHA;S61.0 FERIM DE DEDOS S LE;;;
S611;FERIMENTO DE DEDO SCOM LESAO DA UNHA;S61.1 FERIM DE DEDOS C LE;;;
S617;FERIMENTOS MULTIPLOS DO PUNHO E DA MAO;S61.7 FERIM MULT DO PUNHO;;;
S618;FERIMENTO DE OUTRAS PARTES DO PUNHO E DA MAO;S61.8 FERIM DE OUTR PARTE;;;
S619;FERIMENTO DO PUNHO E DA MAOPARTE NAO ESPECIFICADA;S61.9 FERIM DO PUNHO E DA;;;
S62;FRATURA AO NIVEL DO PUNHO E DA MAO;S62 FRAT AO NIVEL DO PU;;;
S620;FRATURA DO OSSO NAVICULARESCAFOIDEDA MAO;S62.0 FRAT DO OSSO NAVICU;;;
S621;FRATURA DE OUTRO SOSSO SDO CARPO;S62.1 FRAT DE OUTR OSSOS;;;
S622;FRATURA DO PRIMEIRO METACARPIANO;S62.2 FRAT DO PRIMEIRO ME;;;
S623;FRATURA DE OUTROS OSSOS DO METACARPO;S62.3 FRAT DE OUTR OSSOS;;;
S624;FRATURAS MULTIPLAS DE OSSOS METACARPIANOS;S62.4 FRAT MULT DE OSSOS;;;
S625;FRATURA DO POLEGAR;S62.5 FRAT DO POLEGAR;;;
S626;FRATURA DE OUTROS DEDOS;S62.6 FRAT DE OUTR DEDOS;;;
S627;FRATURAS MULTIPLAS DE DEDO S;S62.7 FRAT MULT DE DEDOS;;;
